date,grocery_and_pharmacy,income_support,international_travel_controls,restriction_gatherings,restrictions_internal_movements,contact_tracing,vaccine_availability,retail_and_recreation,public_information_campaigns,workplace_closures,debt_relief,vaccination_policy,facial_coverings,testing_policy,stay_home_requirements,school_closures,close_public_transport,vaccine_eligibility_age,cancel_public_events
2020-03-03,6.143,0,3,0,0,0,0,7.571,2,0,0,0,0,1,0,0,0,-1,0
2020-03-04,7.286,0,3,1,0,0,0,7.571,2,0,0,0,0,1,0,0,0,-1,2
2020-03-05,8.714,0,3,1,0,0,0,7.143,2,0,0,0,0,1,0,0,0,-1,2
2020-03-06,9.0,0,3,1,0,0,0,5.429,2,0,0,0,0,1,0,0,0,-1,2
2020-03-07,12.857,0,3,1,0,0,0,5.857,2,0,0,0,0,1,0,0,0,-1,2
2020-03-08,14.143,0,3,1,0,0,0,5.714,2,0,1,0,0,1,0,0,0,-1,2
2020-03-09,13.857,0,3,1,0,0,0,1.571,2,0,1,0,0,1,0,0,0,-1,2
2020-03-10,14.857,0,3,1,0,0,0,1.429,2,0,1,0,0,1,0,0,0,-1,2
2020-03-11,14.857,0,3,1,0,0,0,0.429,2,0,1,0,0,1,0,0,0,-1,2
2020-03-12,14.571,0,4,3,0,1,0,-2.714,2,0,1,0,0,1,0,0,0,-1,2
2020-03-13,14.286,0,4,3,0,1,0,-6.0,2,0,1,0,0,1,0,3,0,-1,2
2020-03-14,18.429,0,4,3,0,1,0,-11.286,2,0,1,0,0,1,0,3,0,-1,2
2020-03-15,20.0,0,4,4,0,1,0,-17.143,2,2,1,0,0,1,0,3,0,-1,2
2020-03-16,19.571,0,4,4,0,1,0,-23.0,2,2,2,0,0,1,0,3,1,-1,2
2020-03-17,17.286,0,4,4,1,2,0,-30.571,2,2,2,0,0,1,1,3,1,-1,2
2020-03-18,16.0,0,4,4,1,2,0,-38.429,2,2,2,0,0,1,1,3,1,-1,2
2020-03-19,12.714,0,4,4,1,2,0,-44.286,2,2,2,0,0,1,1,3,1,-1,2
2020-03-20,8.143,0,4,4,1,2,0,-50.143,2,2,2,0,0,1,2,3,1,-1,2
2020-03-21,-5.714,0,4,4,1,2,0,-56.714,2,2,2,0,0,1,2,3,1,-1,2
2020-03-22,-12.429,0,4,4,1,2,0,-60.571,2,2,2,0,0,1,2,3,1,-1,2
2020-03-23,-16.286,0,4,4,1,2,0,-63.571,2,2,2,0,0,1,2,3,1,-1,2
2020-03-24,-17.143,0,4,4,1,2,0,-64.714,2,2,2,0,0,1,2,3,1,-1,2
2020-03-25,-19.0,0,4,4,1,2,0,-65.429,2,2,2,0,0,1,2,3,1,-1,2
2020-03-26,-22.0,0,4,4,1,2,0,-67.286,2,2,2,0,0,1,2,3,1,-1,2
2020-03-27,-23.429,0,4,4,1,2,0,-68.143,2,2,2,0,0,1,2,3,1,-1,2
2020-03-28,-24.286,0,4,4,1,2,0,-69.143,2,2,2,0,0,1,2,3,1,-1,2
2020-03-29,-23.571,0,4,4,1,2,0,-70.0,2,2,2,0,0,1,2,3,1,-1,2
2020-03-30,-25.0,0,4,4,1,2,0,-71.714,2,2,2,0,0,1,2,3,1,-1,2
2020-03-31,-25.714,2,4,4,1,2,0,-74.286,2,2,2,0,0,1,2,3,1,-1,2
2020-04-01,-26.0,2,4,4,1,2,0,-76.714,2,3,2,0,3,1,2,3,1,-1,2
2020-04-02,-23.0,2,4,4,1,2,0,-77.286,2,3,2,0,3,1,2,3,1,-1,2
2020-04-03,-20.857,2,4,4,2,2,0,-77.857,2,3,2,0,3,1,2,3,1,-1,2
2020-04-04,-18.714,2,4,4,2,2,0,-78.0,2,3,2,0,3,1,2,3,1,-1,2
2020-04-05,-16.0,2,4,4,2,2,0,-79.143,2,3,2,0,3,1,2,3,1,-1,2
2020-04-06,-9.571,2,4,4,2,2,0,-79.143,2,3,2,0,3,1,2,3,1,-1,2
2020-04-07,-3.714,2,4,4,2,2,0,-77.857,2,3,2,0,3,1,2,3,1,-1,2
2020-04-08,-7.0,2,4,4,2,2,0,-79.0,2,3,2,0,3,1,3,3,1,-1,2
2020-04-09,-17.857,2,4,4,2,2,0,-81.429,2,3,2,0,3,1,3,3,1,-1,2
2020-04-10,-19.0,2,4,4,2,2,0,-82.286,2,3,2,0,3,1,3,3,1,-1,2
2020-04-11,-20.0,2,4,4,2,2,0,-82.429,2,3,2,0,3,1,3,3,1,-1,2
2020-04-12,-22.429,2,4,4,2,2,0,-82.857,2,3,2,0,3,1,3,3,1,-1,2
2020-04-13,-26.286,2,4,4,2,2,0,-83.571,2,3,2,0,3,1,3,3,1,-1,2
2020-04-14,-34.0,2,4,4,2,2,0,-85.286,2,3,2,0,3,1,3,3,1,-1,2
2020-04-15,-40.857,2,4,4,2,2,0,-86.143,2,3,2,0,3,1,3,3,1,-1,2
2020-04-16,-31.0,2,4,4,2,2,0,-83.143,2,3,2,0,3,1,3,3,1,-1,2
2020-04-17,-30.714,2,4,4,2,2,0,-81.714,2,3,2,0,3,1,3,3,1,-1,2
2020-04-18,-31.429,2,4,4,2,2,0,-81.143,2,3,2,0,3,1,3,3,1,-1,2
2020-04-19,-32.0,2,4,4,2,2,0,-79.714,2,3,2,0,3,1,2,3,1,-1,2
2020-04-20,-34.143,2,4,4,2,2,0,-78.571,2,3,2,0,3,1,2,3,1,-1,2
2020-04-21,-32.286,2,4,4,2,2,0,-76.571,2,3,2,0,3,1,2,3,1,-1,2
2020-04-22,-22.571,2,4,4,2,2,0,-72.714,2,3,2,0,3,1,2,3,1,-1,2
2020-04-23,-22.429,2,4,4,2,2,0,-71.571,2,3,2,0,3,1,2,3,1,-1,2
2020-04-24,-22.143,2,4,4,2,2,0,-70.571,2,3,2,0,3,1,2,3,1,-1,2
2020-04-25,-21.571,2,4,4,2,2,0,-70.143,2,3,2,0,3,1,2,3,1,-1,2
2020-04-26,-20.286,2,4,4,2,2,0,-68.571,2,2,2,0,3,1,2,3,1,-1,2
2020-04-27,-18.0,2,4,4,2,2,0,-67.286,2,2,2,0,3,1,2,3,1,-1,2
2020-04-28,-17.0,2,4,4,2,2,0,-67.0,2,2,2,0,3,1,2,3,1,-1,2
2020-04-29,-26.714,2,4,4,2,2,0,-70.571,2,2,2,0,3,1,2,3,1,-1,2
