date,daily_new_cases,daily_recovered_cases,new_deaths,infectious,cumulative_cases,cumulative_infectious,cumulative_recovered,cumulative_deaths
2020-03-03,3.0,0.0,0.0,15.0,15.0,56,0.0,0.0
2020-03-04,0.0,0.0,0.0,15.0,15.0,71,0.0,0.0
2020-03-05,6.0,0.0,0.0,21.0,21.0,92,0.0,0.0
2020-03-06,16.0,0.0,0.0,37.0,37.0,129,0.0,0.0
2020-03-07,10.0,0.0,0.0,47.0,47.0,176,0.0,0.0
2020-03-08,9.0,0.0,0.0,56.0,56.0,232,0.0,0.0
2020-03-09,4.0,0.0,0.0,60.0,60.0,292,0.0,0.0
2020-03-10,28.0,0.0,0.0,88.0,88.0,380,0.0,0.0
2020-03-11,0.0,0.0,0.0,60.0,60.0,440,0.0,0.0
2020-03-12,21.0,0.0,0.0,81.0,81.0,521,0.0,0.0
2020-03-13,31.0,1.0,0.0,111.0,112.0,632,1.0,0.0
2020-03-14,26.0,0.0,0.0,137.0,138.0,769,1.0,0.0
2020-03-15,39.0,0.0,0.0,176.0,177.0,945,1.0,0.0
2020-03-16,74.0,0.0,0.0,250.0,251.0,1195,1.0,0.0
2020-03-17,44.0,2.0,0.0,292.0,295.0,1487,3.0,0.0
2020-03-18,76.0,2.0,0.0,366.0,371.0,1853,5.0,0.0
2020-03-19,15.0,4.0,0.0,377.0,386.0,2230,9.0,0.0
2020-03-20,242.0,1.0,1.0,618.0,628.0,2847,10.0,1.0
2020-03-21,215.0,0.0,0.0,833.0,843.0,3679,10.0,1.0
2020-03-22,237.0,5.0,0.0,1065.0,1080.0,4743,15.0,1.0
2020-03-23,169.0,5.0,0.0,1229.0,1249.0,5971,20.0,1.0
2020-03-24,102.0,5.0,3.0,1326.0,1351.0,7293,25.0,4.0
2020-03-25,1117.0,6.0,1.0,2437.0,2468.0,9725,31.0,5.0
2020-03-26,520.0,9.0,5.0,2948.0,2988.0,12663,40.0,10.0
2020-03-27,433.0,18.0,2.0,3363.0,3421.0,16014,58.0,12.0
2020-03-28,480.0,9.0,1.0,3834.0,3901.0,19835,67.0,13.0
2020-03-29,532.0,14.0,3.0,4352.0,4433.0,24171,81.0,16.0
2020-03-30,546.0,33.0,1.0,4865.0,4979.0,29019,114.0,17.0
2020-03-31,738.0,43.0,4.0,5560.0,5717.0,34558,157.0,21.0
2020-04-01,696.0,32.0,8.0,6224.0,6413.0,40753,189.0,29.0
2020-04-02,719.0,78.0,9.0,6865.0,7132.0,47580,267.0,38.0
2020-04-03,597.0,54.0,5.0,7408.0,7729.0,54945,321.0,43.0
2020-04-04,428.0,52.0,6.0,7784.0,8157.0,62680,373.0,49.0
2020-04-05,583.0,100.0,7.0,8267.0,8740.0,70891,473.0,56.0
2020-04-06,451.0,118.0,8.0,8600.0,9191.0,79427,591.0,64.0
2020-04-07,377.0,120.0,8.0,8857.0,9568.0,88212,711.0,72.0
2020-04-08,338.0,105.0,8.0,9090.0,9906.0,97222,816.0,80.0
2020-04-09,343.0,110.0,9.0,9323.0,10249.0,106456,926.0,89.0
2020-04-10,358.0,123.0,8.0,9558.0,10607.0,115917,1049.0,97.0
2020-04-11,345.0,120.0,6.0,9783.0,10952.0,125597,1169.0,103.0
2020-04-12,552.0,258.0,6.0,10077.0,11504.0,135565,1427.0,109.0
2020-04-13,438.0,277.0,9.0,10238.0,11942.0,145685,1704.0,118.0
2020-04-14,399.0,286.0,8.0,10351.0,12341.0,155910,1990.0,126.0
2020-04-15,311.0,276.0,13.0,10386.0,12652.0,166157,2266.0,139.0
2020-04-16,296.0,328.0,7.0,10354.0,12948.0,176365,2594.0,146.0
2020-04-17,298.0,356.0,9.0,10296.0,13246.0,186506,2950.0,155.0
2020-04-18,291.0,249.0,11.0,10338.0,13537.0,196678,3199.0,166.0
2020-04-19,276.0,380.0,8.0,10234.0,13813.0,206738,3579.0,174.0
2020-04-20,299.0,448.0,6.0,10085.0,14112.0,216643,4027.0,180.0
2020-04-21,282.0,371.0,9.0,9996.0,14394.0,226450,4398.0,189.0
2020-04-22,225.0,391.0,3.0,9830.0,14619.0,236088,4789.0,192.0
2020-04-23,276.0,326.0,4.0,9780.0,14895.0,245672,5115.0,196.0
2020-04-24,248.0,337.0,3.0,9691.0,15143.0,255164,5452.0,199.0
2020-04-25,159.0,375.0,3.0,9475.0,15302.0,264437,5827.0,202.0
2020-04-26,83.0,429.0,2.0,9129.0,15385.0,273362,6256.0,204.0
2020-04-27,128.0,467.0,4.0,8790.0,15513.0,281944,6723.0,208.0
2020-04-28,159.0,564.0,5.0,8385.0,15672.0,290116,7287.0,213.0
2020-04-29,82.0,350.0,6.0,8117.0,15754.0,298014,7637.0,219.0
2020-04-30,142.0,426.0,6.0,7833.0,15896.0,305622,8063.0,225.0
2020-05-01,116.0,422.0,4.0,7527.0,16012.0,312920,8485.0,229.0
2020-05-02,57.0,275.0,3.0,7309.0,16069.0,319997,8760.0,232.0
2020-05-03,27.0,285.0,3.0,7051.0,16096.0,326813,9045.0,235.0
2020-05-04,53.0,257.0,3.0,6847.0,16149.0,333422,9302.0,238.0
2020-05-05,32.0,316.0,2.0,6563.0,16181.0,339745,9618.0,240.0
2020-05-06,65.0,260.0,1.0,6368.0,16246.0,345872,9878.0,241.0
2020-05-07,61.0,224.0,1.0,6205.0,16307.0,351835,10102.0,242.0
2020-05-08,33.0,222.0,6.0,6016.0,16340.0,357603,10324.0,248.0
2020-05-09,19.0,91.0,3.0,5944.0,16359.0,363296,10415.0,251.0
2020-05-10,29.0,168.0,4.0,5805.0,16388.0,368846,10583.0,255.0
2020-05-11,39.0,327.0,5.0,5517.0,16427.0,374103,10910.0,260.0
2020-05-12,23.0,258.0,3.0,5282.0,16450.0,379122,11168.0,263.0
2020-05-13,39.0,177.0,3.0,5144.0,16489.0,384000,11345.0,266.0
2020-05-14,22.0,239.0,2.0,4927.0,16511.0,388659,11584.0,268.0
2020-05-15,12.0,160.0,0.0,4779.0,16523.0,393170,11744.0,268.0
2020-05-16,5.0,101.0,3.0,4683.0,16528.0,397582,11845.0,271.0
2020-05-17,15.0,149.0,4.0,4549.0,16543.0,401856,11994.0,275.0
2020-05-18,27.0,273.0,3.0,4303.0,16570.0,405881,12267.0,278.0
2020-05-19,22.0,150.0,2.0,4175.0,16592.0,409776,12417.0,280.0
2020-05-20,15.0,109.0,1.0,4081.0,16607.0,413576,12526.0,281.0
2020-05-21,17.0,121.0,0.0,3977.0,16624.0,417272,12647.0,281.0
2020-05-22,19.0,161.0,0.0,3835.0,16643.0,420826,12808.0,281.0
2020-05-23,5.0,43.0,0.0,3797.0,16648.0,424342,12851.0,281.0
2020-05-24,13.0,114.0,1.0,3696.0,16661.0,427756,12965.0,282.0
2020-05-25,22.0,132.0,2.0,3586.0,16683.0,431058,13097.0,284.0
2020-05-26,50.0,91.0,0.0,3545.0,16733.0,434319,13188.0,284.0
2020-05-27,40.0,60.0,2.0,3525.0,16773.0,437558,13248.0,286.0
2020-05-28,77.0,112.0,1.0,3490.0,16850.0,440761,13360.0,287.0
2020-05-29,113.0,39.0,0.0,3564.0,16963.0,444038,13399.0,287.0
2020-05-30,29.0,40.0,0.0,3553.0,16992.0,447304,13439.0,287.0
2020-05-31,87.0,60.0,0.0,3580.0,17079.0,450597,13499.0,287.0
2020-06-01,100.0,67.0,3.0,3613.0,17179.0,453920,13566.0,290.0
2020-06-02,121.0,53.0,2.0,3681.0,17300.0,457309,13619.0,292.0
2020-06-03,97.0,27.0,1.0,3751.0,17397.0,460767,13646.0,293.0
